187.917	0.31	2.66	-1.5	-2.02	1.79
187.918	0.31	2.7	-1.68	-1.73	1.85
187.919	0.31	2.84	-1.72	-1.35	1.89
187.92	0.32	3.08	-1.59	-0.91	1.9
187.921	0.32	3.4	-1.3	-0.45	1.87
187.922	0.33	3.81	-0.86	0	1.79
187.923	0.33	4.25	-0.28	0.39	1.67
187.924	0.34	4.72	0.39	0.71	1.5
187.925	0.34	5.17	1.11	0.93	1.3
187.926	0.35	5.58	1.83	1.04	1.07
187.927	0.35	5.92	2.5	1.02	0.84
187.928	0.35	6.15	3.07	0.89	0.62
187.929	0.35	6.25	3.5	0.67	0.43
187.93	0.35	6.2	3.76	0.37	0.3
187.931	0.34	6	3.82	0.01	0.25
187.932	0.34	5.64	3.69	-0.36	0.28
187.933	0.34	5.12	3.37	-0.73	0.4
187.934	0.34	4.48	2.88	-1.06	0.62
187.935	0.33	3.71	2.29	-1.32	0.93
187.936	0.34	2.87	1.62	-1.5	1.33
187.937	0.34	1.97	0.94	-1.6	1.78
187.938	0.35	1.05	0.31	-1.61	2.26
187.939	0.36	0.15	-0.22	-1.53	2.74
187.94	0.38	-0.68	-0.6	-1.38	3.18
187.941	0.4	-1.43	-0.78	-1.18	3.55
187.942	0.42	-2.07	-0.76	-0.95	3.83
187.943	0.45	-2.57	-0.53	-0.72	3.97
187.944	0.48	-2.91	-0.09	-0.51	3.96
187.945	0.51	-3.1	0.5	-0.33	3.8
187.946	0.54	-3.13	1.22	-0.22	3.47
187.947	0.56	-3.01	2	-0.17	3
187.948	0.59	-2.76	2.78	-0.2	2.4
187.949	0.6	-2.39	3.47	-0.29	1.7
187.95	0.62	-1.93	4.03	-0.45	0.94
187.951	0.62	-1.41	4.39	-0.64	0.17
187.952	0.63	-0.85	4.5	-0.86	-0.57
187.953	0.62	-0.3	4.35	-1.09	-1.23
187.954	0.61	0.22	3.92	-1.3	-1.78
187.955	0.59	0.69	3.22	-1.48	-2.18
187.956	0.57	1.08	2.29	-1.61	-2.4
187.957	0.54	1.38	1.16	-1.68	-2.45
187.958	0.51	1.56	-0.08	-1.69	-2.31
187.959	0.48	1.62	-1.38	-1.64	-2
187.96	0.45	1.56	-2.65	-1.54	-1.56
187.961	0.42	1.39	-3.83	-1.4	-1.02
187.962	0.38	1.1	-4.85	-1.24	-0.43
187.963	0.35	0.71	-5.65	-1.08	0.16
187.964	0.33	0.25	-6.18	-0.93	0.71
187.965	0.3	-0.27	-6.44	-0.82	1.16
187.966	0.28	-0.81	-6.42	-0.76	1.46
187.967	0.26	-1.36	-6.14	-0.77	1.6
187.968	0.25	-1.9	-5.64	-0.83	1.54
187.969	0.24	-2.39	-4.95	-0.96	1.3
187.97	0.23	-2.81	-4.15	-1.14	0.87
187.971	0.22	-3.14	-3.3	-1.37	0.28
187.972	0.21	-3.36	-2.46	-1.63	-0.43
187.973	0.2	-3.49	-1.69	-1.9	-1.22
187.974	0.2	-3.49	-1.03	-2.16	-2.02
187.975	0.19	-3.38	-0.54	-2.38	-2.79
187.976	0.18	-3.16	-0.22	-2.56	-3.47
187.977	0.18	-2.85	-0.08	-2.68	-4
187.978	0.17	-2.48	-0.1	-2.73	-4.36
187.979	0.17	-2.07	-0.26	-2.71	-4.51
187.98	0.17	-1.64	-0.52	-2.61	-4.43
187.981	0.17	-1.24	-0.82	-2.45	-4.14
187.982	0.17	-0.89	-1.13	-2.24	-3.65
187.983	0.17	-0.63	-1.4	-2	-2.98
187.984	0.17	-0.49	-1.57	-1.74	-2.19
187.985	0.18	-0.5	-1.61	-1.49	-1.33
187.986	0.19	-0.67	-1.51	-1.27	-0.46
187.987	0.19	-1.02	-1.26	-1.09	0.38
